game_id,player_id,player_club_id,player_name
2222958,53477,6414,"Jonathan Cristaldo"
2222958,53523,6414,"Marco Torsiglieri"
2222958,54576,6414,"SebastiÃ¡n Blanco"
2222958,55115,6993,"David Targamadze"
2222958,58035,6993,"Mykola Ishchenko"
2222958,58043,6993,"Rustam Khudzhamov"
2222958,58403,6993,"Denys Kozhanov"
2222958,58413,6414,"Volodymyr Lysenko"
2222958,58440,6993,"Sergiy Shevchuk"
2222958,68778,6414,Marlos
2222958,76028,6414,Taison
2222958,89556,6993,"Vitaliy Fedotov"
2222958,92635,6993,"Oleksandr Mandzyuk"
2222958,94922,6993,"Bogdan Butko"
2222958,94931,6993,"Vitaliy Vitsenets"
2222960,112953,6992,"Dmytro Bezotosnyi"
2222960,121218,6996,"Yevgen Yeliseev"
2222960,134609,6996,"Mykola Gibalyuk"
2222960,1716,6996,"David Odonkor"
2222960,17206,6996,"Aleksandar Trisovic"
2222960,22378,6992,"LÃ©o Matos"
2222960,25891,6992,"Anatoliy Didenko"
2222960,27172,6992,"Pavlo Kutas"
2222960,34771,6996,"Oleksandr Kosyrin"
2222960,35435,6992,"Lucian Burdujan"
2222960,35908,6996,"Mirko Raicevic"
2222960,4678,6992,"Markus Berger"
2222960,58514,6992,"Elis Bakaj"
2222960,58606,6992,"Sergiy Politylo"
2222960,62515,6992,"Ivan Bobko"
2222960,64711,6992,"Pablo Fontanello"
2222960,65542,6992,"Tiago Terroso"
2222960,69913,6992,"Kyrylo Kovalchuk"
2222960,71725,6996,"Oleksandr Nad"
2222960,72899,6996,"Oleksandr Sytnyk"
2222960,8480,6992,"Sito Riera"
2222960,85964,6992,"Anderson Mineiro"
2222960,85973,6996,"Andriy Grynchenko"
2222960,91377,6996,"Dmytro Trukhin"
2222960,91450,6996,"Oleg Mishchenko"
2222960,93976,6996,"Stanislav Pechenkin"
2222960,95239,6996,"Pavlo Shchedrakov"
2222960,96455,6996,"Yevgen Makarenko"
2222961,104331,338,"Lukman Haruna"
2222961,114937,338,Dudu
2222961,15033,2783,"Velizar Dimitrov"
2222961,16746,338,"Niko Kranjcar"
2222961,18445,338,BetÃ£o
2222961,24000,2783,"Vyacheslav Checher"
2222961,27108,2783,"Konstantinos Makridis"
2222961,27954,338,"Ognjen Vukojevic"
2222961,43308,2783,"Denys Golaydo"
2222961,45196,338,"Taras Mykhalyk"
2222961,45812,2783,"Djordje Lazic"
2222961,48740,338,"Milos Ninkovic"
2222961,51232,2783,Danilo
2222961,55734,2783,"Gevorg Ghazaryan"
2222961,59045,2783,"Pavlo Gryshchenko"
2222961,59389,2783,"Mykola Morozyuk"
2222961,60324,2783,"Gregory Nelson"
2222961,61952,338,"Danilo Silva"
2222961,64308,338,"Brown Ideye"
2222961,69004,338,"Yevgen Khacheridi"
2222961,69015,338,"Andriy Yarmolenko"
2222961,70754,338,"Denys Garmash"
2222961,73769,2783,"ZÃ© Soares"
2222961,74843,2783,"Vitaliy Ivanko"
2222961,85969,2783,"Oleksandr Bandura"
2222961,87893,2783,"Vasyl Pryima"
2222961,91931,338,"Denys Boyko"
2222961,9794,338,"Oleg Gusev"
2222963,105362,6994,"Adolphe Teikeu"
2222963,105534,6994,"Artur Kaskov"
2222963,124182,6994,"Sergiy Sydorchuk"
2222963,14927,6994,"Oleksiy Belik"
2222963,206717,6994,"Eduard Sobol"
2222963,24010,10690,"Oleksandr Grytsay"
2222963,24670,10690,"Nikola Ignjatijevic"
2222963,37303,10690,"Zeljko Ljubenovic"
2222963,43276,6994,Junior
2222963,43393,10690,"Grygoriy Yarmash"
2222963,47375,10690,"Ivan Rodic"
2222963,49022,6994,"Vitaliy Rudenko"
2222963,58238,10690,"Mykyta Kamenyuka"
2222963,59249,6994,"Ivan Matyazh"
2222963,59266,10690,"Ilya Galyuza"
2222963,59269,10690,"Lucky Idahor"
2222963,59277,10690,"Dmytro Kozachenko"
2222963,59964,6994,"Yevgen Pisotskyi"
2222963,59973,10690,"Vitaliy Vernydub"
2222963,60790,10690,"Toni Sunjic"
2222963,82608,10690,"Pavlo Khudzik"
2222963,85430,10690,"Jaba Lipartia"
2222963,86931,6994,"Yevgen Opanasenko"
2222963,87097,6994,"Sergiy Rudyka"
2222963,87864,6994,"Mohamed Achraf Khalfaoui"
2222963,90768,10690,"Yaroslav Oliynyk"
2222963,91259,6994,"Yuri Shturko"
2224732,100980,5724,"Mads Fenger"
2224732,103428,5817,"BjÃ¶rn Paulsen"
2224732,103433,5817,"Jacob TjÃ¶rnelund"
2224732,15039,5724,"Jonas Kamper"
2224732,15049,5817,"Thomas Hansen"
2224732,15243,5817,"Tommy Bechmann"
2224732,15472,5817,"Hakon Opdal"
2224732,161244,5817,"Conor O'Brien"
2224732,20841,5724,"Anders Egholm"
2224732,20844,5817,"Henrik Hansen"
2224732,22176,5724,"Christian Keller"
2224732,221916,5817,"Andreas Oggesen"
2224732,22489,5724,"Frank Kristensen"
2224732,22516,5724,"Chris SÃ¶rensen"
2224732,22913,5724,"David Ousted"
2224732,23111,5724,"Johnny Thomsen"
2224732,23250,5817,"Niels Lodberg"
2224732,23403,5817,"Henrik BÃ¶dker"
2224732,36691,5817,"Jarl AndrÃ© Storbaek"
2224732,43015,5724,"Tidiane SanÃ©"
2224732,4351,5724,"Remco van der Schaaf"
2224732,44423,5724,"Adama Tamboura"
2224732,46007,5724,"Ronnie Schwartz"
2224732,50651,5817,"EyjÃ³lfur HÃ©dinsson"
2224732,61335,5724,"Alexander Fischer"
2224732,61423,5724,"Lasse Rise"
